Time, TargetPos, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,0,29.6656,-6.9655,28.8363,43.8669,0,0
6,-8,37.4891,-6.9655,36.8363,58.7983,0,0
9,8,21.9698,-6.9655,20.8363,28.9355,0,0
12,-8,37.4891,-6.9655,36.8363,58.7983,0,0
15,8,21.9698,-6.9655,20.8363,28.9355,0,0
18,-8,37.4891,-6.9655,36.8363,58.7983,0,0
21,0,29.6656,-6.9655,28.8363,43.8669,0,0
24,8,21.9698,-6.9655,20.8363,28.9355,0,0
27,17.2999992370605,13.4761,-6.9655,11.5363,13.8963,0,0
30,-17.2999992370605,46.6592,-6.9655,46.1363,73.8375,0,0
33,0,29.6656,-6.9655,28.8363,43.8669,0,0
36,8,21.9698,-6.9655,20.8363,28.9355,0,0
39,-8,37.4891,-6.9655,36.8363,58.7983,0,0
42,8,21.9698,-6.9655,20.8363,28.9355,0,0
45,-8,37.4891,-6.9655,36.8363,58.7983,0,0
48,-17.2999992370605,46.6592,-6.9655,46.1363,73.8375,0,0
51,-8,37.4891,-6.9655,36.8363,58.7983,0,0
54,17.2999992370605,13.4761,-6.9655,11.5363,13.8963,0,0
57,-17.2999992370605,46.6592,-6.9655,46.1363,73.8375,0,0
