Time, TargetPos, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,-8,16.5295,-5.4388,15.6091,29.1635,0,0
6,0,9.353,-5.4388,7.6091,14.2321,0,0
9,-8,16.5295,-5.4388,15.6091,29.1635,0,0
12,0,9.353,-5.4388,7.6091,14.2321,0,0
15,17.2999992370605,11.1128,-5.4388,-9.6909,-15.7385,0,0
18,0,9.353,-5.4388,7.6091,14.2321,0,0
21,17.2999992370605,11.1128,-5.4388,-9.6909,-15.7385,0,0
24,8,5.4528,-5.4388,-0.3909,-0.6993,0,0
27,0,9.353,-5.4388,7.6091,14.2321,0,0
30,-17.2999992370605,25.4959,-5.4388,24.9091,44.2027,0,0
33,17.2999992370605,11.1128,-5.4388,-9.6909,-15.7385,0,0
36,-8,16.5295,-5.4388,15.6091,29.1635,0,0
39,0,9.353,-5.4388,7.6091,14.2321,0,0
42,8,5.4528,-5.4388,-0.3909,-0.6993,0,0
45,-17.2999992370605,25.4959,-5.4388,24.9091,44.2027,0,0
48,0,9.353,-5.4388,7.6091,14.2321,0,0
51,-17.2999992370605,25.4959,-5.4388,24.9091,44.2027,0,0
54,17.2999992370605,11.1128,-5.4388,-9.6909,-15.7385,0,0
57,-17.2999992370605,25.4959,-5.4388,24.9091,44.2027,0,0
