Time, TargetPos, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,0,8.8589,-5.5953,6.8682,12.8951,0,0
6,-8,15.8862,-5.5953,14.8682,27.8265,0,0
9,-17.2999992370605,24.8075,-5.5953,24.1682,42.8657,0,0
12,0,8.8589,-5.5953,6.8682,12.8951,0,0
15,8,5.7086,-5.5953,-1.1318,-2.0363,0,0
18,-17.2999992370605,24.8075,-5.5953,24.1682,42.8657,0,0
21,17.2999992370605,11.8376,-5.5953,-10.4318,-17.0755,0,0
24,8,5.7086,-5.5953,-1.1318,-2.0363,0,0
27,-8,15.8862,-5.5953,14.8682,27.8265,0,0
3,0,17.9047,1.9553,17.7976,30.6787,0,0
3,0,1.2988,-0.0503,1.2978,2.477,75,75
6,-8,0.8002,0.2802,-0.7496,-1.328,75,150
9,8,0.3238,-0.1956,0.258,0.4591,90,240
12,17.2999992370605,1.0258,0.5263,-0.8805,-1.278,75,315
15,-17.2999992370605,0.5753,0.3623,0.447,0.6447,90,405
18,17.2999992370605,0.7826,0.2952,0.7248,1.028,75,480
21,0,0.7948,-0.0489,-0.7933,-1.5148,75,555
24,-8,1.0972,0.1673,-1.0844,-1.9156,75,630
27,0,0.5005,0.4744,-0.1595,-0.3047,90,720
30,-17.2999992370605,1.1137,-1.0434,-0.3894,-0.555,75,795
33,0,0.4434,0.4433,-0.0104,-0.0198,90,885
36,-8,1.0367,-0.0012,-1.0367,-1.8321,75,960
39,17.2999992370605,0.5193,-0.0448,-0.5174,-0.747,90,1050
42,-8,2.0465,-0.2386,-2.0325,-3.5594,50,1100
45,0,0.7772,0.5212,0.5765,1.1009,75,1175
48,8,0.2937,-0.2759,0.1007,0.1793,100,1275
51,-8,1.6892,-0.3832,-1.6451,-2.8914,50,1325
54,-17.2999992370605,1.4372,0.7628,-1.2181,-1.7152,50,1375
57,17.2999992370605,0.6949,0.5787,0.3847,0.5483,75,1450
