Time, TargetPos, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,-8,24.3593,1.933,24.2825,43.4222,0,0
6,-8,24.3293,1.9185,24.2535,43.3795,0,0
9,8,8.47,1.9179,8.2501,13.5116,0,0
12,-17.2999992370605,33.6085,1.9201,33.5536,58.4189,0,0
3,8,11.4257,-1.1799,-11.3646,-21.3306,0,0
6,-17.2999992370605,2.8031,-0.1989,-2.796,-3.8462,25,25
9,0,2.4893,-0.1437,2.4851,4.7354,25,50
12,-17.2999992370605,2.173,-0.3906,2.1376,3.158,50,100
15,-8,1.3502,0.706,-1.1508,-2.0318,50,150
18,17.2999992370605,1.0449,-0.7779,0.6977,0.9899,75,225
21,8,5.6454,-0.3335,5.6356,9.5113,0,225
24,-17.2999992370605,1.3684,0.3351,-1.3268,-1.8652,50,275
27,0,3.5605,-0.463,3.5302,6.7114,10,285
30,8,7.3587,-0.7077,7.3245,12.1274,0,285
33,-17.2999992370605,2.6698,2.2825,1.3849,2.0245,25,310
36,0,3.2376,-0.694,3.1623,6.0174,10,320
39,8,2.0726,1.029,1.7992,3.1576,50,370
42,-17.2999992370605,5.8836,-0.5726,5.8557,9.0899,0,370
45,17.2999992370605,2.2706,0.1906,2.2625,3.1371,25,395
48,-17.2999992370605,4.4488,0.381,4.4325,6.7553,0,395
51,8,0.3563,0.0057,0.3562,0.6332,90,485
54,17.2999992370605,0.2517,0.1803,0.1756,0.251,100,585
57,-17.2999992370605,4.9891,-1.5801,4.7322,7.2405,0,585
