Time, TargetPos, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,0,20.477,16.9474,11.4931,20.9619,0,0
6,8,18.8571,5.0903,18.157,26.1538,0,0
9,17.2999992370605,5.8094,-4.6287,-3.5106,-5.2849,0,0
12,-8,1.8415,-0.4045,-1.7965,-3.1531,50,50
15,-17.2999992370605,2.9794,1.6462,-2.4833,-3.432,25,75
18,0,50.6191,-9.6515,49.6905,58.8791,0,75
21,-17.2999992370605,1.9718,1.0052,1.6963,2.4907,50,125
24,8,3.2382,1.9674,2.572,4.4811,10,135
27,-8,2.6295,-1.6428,-2.0531,-3.5948,25,160
30,17.2999992370605,3.2119,-1.2703,2.9501,4.0488,10,170
33,-17.2999992370605,1.9013,-1.1375,-1.5235,-2.1356,50,220
36,0,6.1843,2.5635,5.6279,10.6251,0,220
39,-8,2.8106,1.3605,2.4594,4.4676,25,245
42,8,7.42,6.101,4.2229,7.2361,0,245
45,-17.2999992370605,6.4997,-5.8477,2.8373,4.2324,0,245
48,0,6.9406,0.5413,6.9194,12.988,0,245
51,8,2.2949,1.2515,-1.9236,-3.4812,25,270
54,-8,5.3462,0.8841,-5.2726,-8.9341,0,270
57,0,9.0421,-5.9452,6.8128,12.7946,0,270
3,17.2999992370605,41.1676,9.6471,40.0213,32.4034,0,0
6,0,6.6339,-3.8535,-5.3999,-10.2037,0,0
9,-8,8.3486,5.5513,-6.2356,-10.4538,0,0
12,0,7.8491,0.0398,7.849,14.6619,0,0
15,17.2999992370605,6.7343,3.3802,-5.8245,-9.0378,0,0
18,-8,2.4387,-0.7253,2.3284,4.2258,25,25
21,8,6.9792,-0.1989,-6.9764,-12.9771,0,25
24,-8,7.8278,2.7506,-7.3286,-12.1336,0,25
27,0,3.7003,-1.083,3.5383,6.7265,10,35
30,-8,9.9309,1.2107,-9.8568,-15.8309,0,35
33,8,5.6152,-0.0015,-5.6152,-10.3863,0,35
36,17.2999992370605,1.1906,-0.0969,-1.1867,-1.7299,75,110
39,8,9.1662,1.7622,-8.9953,-16.8315,0,110
42,-8,6.6937,2.8414,-6.0606,-10.1805,0,110
45,17.2999992370605,5.5106,-0.2045,5.5068,7.2725,0,110
48,8,10.5632,0.6937,-10.5404,-19.7717,0,110
51,-8,3.7209,0.8976,-3.611,-6.2267,10,120
54,-17.2999992370605,1.3237,1.1221,-0.7022,-0.9962,75,195
57,0,1.1782,-0.5542,1.0397,1.9849,75,270
