Time, TargetPos, Distance, Ypos, Zpos, Angle, Score, TotalScore
6,-8,26.2584,25.8355,-4.6939,-8.0032,0,0
9,-17.2999992370605,23.8916,23.8768,0.8404,1.2191,0,0
12,8,25.9445,17.4046,-19.2405,-35.4716,0,0
15,-17.2999992370605,13.5739,-7.6919,11.1842,18.4481,0,0
18,-8,8.5165,8.0264,-2.8476,-4.948,0,0
21,17.2999992370605,21.4975,-13.6301,-16.6241,-28.68,0,0
24,-17.2999992370605,2.5995,2.2531,1.2964,1.8928,25,25
27,0,4.6931,-4.1671,-2.1586,-4.1156,0,25
30,17.2999992370605,1.8601,1.4059,-1.2179,-1.7763,50,75
33,-8,1.9842,-0.2355,1.9702,3.5668,50,125
36,0,2.0731,1.4505,1.4812,2.8265,50,175
39,-8,1.9362,-0.8555,-1.7369,-3.0501,50,225
42,17.2999992370605,7.6171,6.8726,3.2846,4.4854,0,225
45,0,8.7964,-8.7764,-0.5938,-1.1339,0,225
48,-17.2999992370605,1.6479,1.4269,0.8244,1.1956,50,275
51,-8,5.0689,-0.0678,5.0685,9.3503,0,275
54,8,0.3336,0.3273,0.0642,0.1144,90,365
57,17.2999992370605,1.543,1.1358,-1.0444,-1.5195,50,415
3,17.2999992370605,24.3414,2.9899,-24.1571,-42.8455,0,0
6,-17.2999992370605,11.7442,-11.6612,1.3934,2.0372,0,0
9,-8,4.1228,1.9415,3.6371,6.6569,0,0
12,8,4.9837,-3.1581,-3.8553,-7.0655,0,0
15,0,3.3356,3.2932,0.5301,1.0123,10,10
18,8,2.8854,-1.9732,2.1052,3.6842,25,35
21,-8,1.4968,0.6749,-1.336,-2.3548,50,85
24,8,3.5989,-1.1537,3.4089,5.8902,10,95
27,17.2999992370605,1.708,1.6238,-0.5296,-0.7648,50,145
30,0,1.1295,-1.0502,-0.4158,-0.7941,75,220
33,17.2999992370605,5.0145,3.4598,-3.6298,-5.4732,0,220
36,8,1.7127,-1.6415,-0.4885,-0.8745,50,270
39,-17.2999992370605,1.2434,0.5874,-1.0958,-1.5458,75,345
42,0,0.6876,0.6847,-0.0629,-0.1202,75,420
45,17.2999992370605,1.6229,0.7074,-1.4607,-2.1376,50,470
48,-8,0.6253,-0.624,-0.0403,-0.0719,90,560
51,0,0.4814,-0.2136,-0.4314,-0.8239,90,650
54,-8,2.7197,-0.7474,-2.615,-4.5541,25,675
57,17.2999992370605,1.2885,-0.3975,-1.2256,-1.7877,75,750
