Time, TargetPos, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,0,29.6656,-6.9655,28.8363,43.8669,0,0
6,-8,37.4891,-6.9655,36.8363,58.7983,0,0
9,8,21.9698,-6.9655,20.8363,28.9355,0,0
12,-8,37.4891,-6.9655,36.8363,58.7983,0,0
15,8,21.9698,-6.9655,20.8363,28.9355,0,0
18,-8,37.4891,-6.9655,36.8363,58.7983,0,0
21,0,29.6656,-6.9655,28.8363,43.8669,0,0
24,8,21.9698,-6.9655,20.8363,28.9355,0,0
27,17.2999992370605,13.4761,-6.9655,11.5363,13.8963,0,0
30,-17.2999992370605,46.6592,-6.9655,46.1363,73.8375,0,0
33,0,29.6656,-6.9655,28.8363,43.8669,0,0
36,8,21.9698,-6.9655,20.8363,28.9355,0,0
39,-8,37.4891,-6.9655,36.8363,58.7983,0,0
42,8,21.9698,-6.9655,20.8363,28.9355,0,0
45,-8,37.4891,-6.9655,36.8363,58.7983,0,0
48,-17.2999992370605,46.6592,-6.9655,46.1363,73.8375,0,0
51,-8,37.4891,-6.9655,36.8363,58.7983,0,0
54,17.2999992370605,13.4761,-6.9655,11.5363,13.8963,0,0
57,-17.2999992370605,46.6592,-6.9655,46.1363,73.8375,0,0
15,0,29.6656,-6.9655,28.8363,43.8669,0,0
3,0,12.5582,2.9797,12.1996,22.1292,0,0
6,-17.2999992370605,3.6164,1.4081,3.331,5.0023,10,10
9,17.2999992370605,3.1666,0.7881,-3.067,-4.5894,10,20
12,-8,1.37,0.5696,1.246,2.2437,50,70
15,17.2999992370605,2.204,1.4714,-1.6409,-2.4074,50,120
18,0,1.1849,-1.0908,0.4629,0.8839,75,195
21,17.2999992370605,2.3897,-0.345,-2.3647,-3.5045,25,220
24,8,0.6609,-0.1192,0.6501,1.1528,75,295
27,-17.2999992370605,5.7598,3.342,4.6911,7.1737,0,295
30,-8,0.8564,-0.814,0.2661,0.4755,75,370
33,17.2999992370605,1.5784,0.543,-1.482,-2.1694,50,420
36,-17.2999992370605,2.7245,2.2805,1.4907,2.1825,25,445
39,0,1.1746,0.0454,-1.1737,-2.2405,75,520
42,17.2999992370605,1.6279,-0.0593,-1.6268,-2.3863,50,570
45,8,1.4918,-0.1335,1.4858,2.6152,50,620
48,0,2.5109,-0.5351,-2.4533,-4.675,25,645
51,-17.2999992370605,3.9564,1.566,3.6332,5.4786,10,655
54,8,2.5714,0.0548,-2.5708,-4.6735,25,680
57,0,1.8055,0.4211,-1.7557,-3.3493,50,730
