Time, TargetPos, Distance, Ypos, Zpos, Angle, Score, TotalScore
21,0,9.353,-5.4388,7.6091,14.2321,0,0
24,0,9.353,-5.4388,7.6091,14.2321,0,0
27,0,9.353,-5.4388,7.6091,14.2321,0,0
3,0,34.1946,3.9484,-33.9658,-48.5478,0,0
6,-8,7.8162,2.1843,7.5048,13.9857,0,0
9,0,2.6241,0.8823,-2.4713,-4.7093,25,25
12,17.2999992370605,3.4439,1.3689,-3.1602,-4.7348,10,35
15,8,1.6156,0.6723,-1.4691,-2.65,50,85
18,-8,1.8883,1.3229,1.3474,2.4283,50,135
21,8,1.4263,1.0479,-0.9676,-1.7387,50,185
24,17.2999992370605,0.3022,0.2471,0.174,0.2488,90,275
27,-8,1.9149,0.336,-1.8851,-3.3059,50,325
30,17.2999992370605,1.1786,0.6996,-0.9485,-1.3781,75,400
33,0,0.4457,0.2864,-0.3415,-0.6522,90,490
36,8,2.4455,1.9216,-1.5126,-2.7293,25,515
39,-8,1.1882,-0.1492,-1.1788,-2.0805,75,590
42,17.2999992370605,2.4829,1.6567,-1.8494,-2.7212,25,615
45,-8,0.2547,-0.1407,-0.2123,-0.3779,100,715
48,-17.2999992370605,2.5731,2.5396,-0.4139,-0.5897,25,740
51,8,2.4146,2.3985,-0.2784,-0.4976,25,765
54,-17.2999992370605,1.3039,0.8551,0.9844,1.4309,75,840
57,-8,1.7281,1.4403,-0.9548,-1.6886,50,890
